File name, Name image, cell number, cluster number, cluster size um2, cluster density um-2
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 32, 0.0242, 436.3883
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 33, 0.0121, 311.6063
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 34, 0.0121, 397.2653
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 35, 0.1089, 509.9166
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 36, 0.0605, 482.9376
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 37, 0.0121, 301.7702
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 38, 0.121, 491.1146
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 39, 0.0605, 366.7195
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 40, 0.0121, 379.1971
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 41, 0.1815, 513.842
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 42, 0.0121, 390.1176
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 43, 0.0121, 440.3629
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 44, 0.2299, 628.1608
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 45, 0.0121, 401.6005
C:\Users\omikhajl\Documents\WORKFLOW\2022\02_FEBRUARY\04022022\mef-on-slb18TR-inv\wt\45-1h\18\max_18.tif, max_18.tif, Cell_1, 46, 0.2541, 604.4984
